frecuencia,perdida_agregada
68,498044.278689094
83,643370.2503579402
77,795566.8625616776
78,449965.7603320939
97,766584.071995189
75,568692.0213947345
89,710699.4278418741
84,738891.2848160196
84,543120.5943805694
81,603054.6620395781
89,599568.9246700424
78,674964.0953220429
72,650548.9509768991
78,452326.79337261955
94,686075.9141858116
75,553899.5518567214
85,666398.1383498142
80,618935.8027099814
86,587189.5518058185
76,550063.5447977778
70,539591.5676040302
74,490872.96580237173
78,560141.4021776791
89,650672.636920102
86,672259.2504492467
73,625890.1005727474
82,610344.8956619928
71,567136.0646145339
58,486173.283870329
92,664851.1088247594
79,650977.3401224957
80,506227.37673982105
86,701816.429397141
89,723761.8194492433
78,599923.2921114241
78,592398.7770925333
65,408279.3704502891
75,493615.1836810931
88,560993.844903746
92,728112.0733710908
84,484956.5357852352
86,606572.1062733199
72,557501.191052125
85,600863.0710095674
79,561440.7559664116
80,625719.0360923095
91,652528.3111306665
80,562776.7845618054
85,733274.2702743094
82,667178.8100133748
70,577502.1785160771
75,575652.5827997482
71,499089.9733834598
74,524279.71449713985
76,436904.5239292291
70,522325.4529303636
94,623525.8965959279
93,604893.7608046351
63,455320.2039842875
92,830610.174084973
75,475578.70813871396
81,536225.5357491453
77,540721.399299013
74,584280.4066949283
71,467386.37866554956
67,437935.2943366072
78,653510.2085014454
90,729090.0148062626
74,467158.67156897543
73,579684.2454031626
67,511831.55454194173
68,514774.1205646003
100,830068.8043566332
76,476673.8990854572
96,635463.0329577638
78,568978.0213987326
81,533633.3675875452
73,496240.3099747012
83,716261.8284024
80,615441.0142026965
98,580544.1291421517
75,587442.8941980564
75,363250.9693268577
68,474966.24689521384
63,479636.9665807059
62,432602.6800251663
73,552324.0486514384
89,641569.0102493286
86,565971.0651416451
86,782988.5730501012
79,505488.02623818547
83,548769.9933053863
90,614689.3060012264
79,451071.6378325518
68,589700.9766985328
91,639181.8774679126
88,675939.1684934455
78,603087.399149246
86,637141.7454731327
77,492918.2288675395
84,548733.4572694843
95,831448.8441544293
81,599840.3241546508
71,522458.7967468696
89,627793.6794842752
80,633826.0736226686
76,678374.2660195618
76,362531.12594378676
66,465477.9693000069
91,623994.5532274168
77,567314.2515397412
70,436190.61112624337
88,550967.4059990076
91,612777.3365856325
90,613852.6247585943
82,567671.2043576734
73,599586.0778381987
88,521976.2295357088
83,652717.554290869
74,548909.7782134499
73,603009.6573393225
81,542421.2425099987
88,599768.5131955958
71,547137.8537972368
86,573821.4025042698
85,516293.7540895295
78,620726.8643079356
83,576078.0201872797
65,399876.26740045904
83,510250.08770622255
83,587918.6648425958
86,548224.107381541
69,558588.5621708966
75,713605.7919756367
70,597137.0919445638
89,602513.963541638
93,580082.631239241
89,513032.87554883404
61,353383.58591653017
68,502718.1443609861
77,541989.3410367363
73,562577.8686303023
74,472929.41069163923
68,461299.5665185106
85,488944.67315998866
83,608893.8657925394
90,606594.3067244428
92,710071.2346559003
98,616264.9408714175
97,713698.7573233701
82,443908.77058581915
87,681563.3691823349
71,507761.2209825443
82,636119.2677314136
86,530503.7512420233
91,762679.8610168541
80,588455.8935707067
92,749511.4459246409
84,544832.2592562927
64,458753.489248945
59,467463.0734825743
67,517446.2369061322
86,566425.2309619959
76,535294.920028737
89,639267.0133835172
81,717190.8913270087
73,438973.5957268384
66,488151.2057302274
72,469062.9971881251
83,517939.74272324546
77,549228.8810085466
84,814032.9809969784
81,615601.7825101917
89,635091.062092538
64,374395.5292028184
62,454787.6582929909
90,577446.7894076143
81,555335.172690953
108,822814.1865687732
68,580790.0270990084
85,502070.65798731236
79,526365.5482256932
86,655482.8824519922
92,614849.7379067633
78,530981.1113124174
83,622377.783722365
78,668177.2985497175
80,497816.0461301434
87,655430.0778587061
85,605946.0958916034
74,511305.15623241477
80,528335.2399606269
94,839801.2010357482
76,623868.9731161032
76,488312.238539436
65,453901.2455843784
66,484228.6628396971
69,500658.50367216195
93,719787.036338032
80,544418.87194801
88,570688.7644479512
87,645774.139680338
83,593868.652277958
64,444586.5541187066
87,568484.8052390781
83,573420.9535542956
59,322067.2731367155
83,588842.9897805534
74,481086.82487815013
72,504946.6813855065
89,532954.8535428297
81,599310.3933611837
91,678339.8627728773
88,572452.5750339347
89,675718.357537642
81,618989.8547645678
81,576317.953254912
89,749964.7200782311
67,523207.5446010754
82,545532.8098537283
93,640726.4036568477
77,555081.9043632866
80,560692.6222499737
78,482159.7246610454
85,585791.2486678719
78,720544.1375977449
88,531926.4400569305
81,616974.2214840165
88,579712.2576583948
95,664634.5522534132
98,784352.29657206
87,656046.5145192988
83,612996.0142144867
78,770282.2476207021
89,736026.0658686368
89,551340.8809009321
69,402650.12041830795
71,525008.2959277397
94,665832.3625267475
70,477501.85244552174
75,661935.5316398685
89,682446.4127524075
86,580038.8172221459
87,663379.6162852416
81,625106.3166105462
90,672325.2591303275
80,657629.6202529685
64,451592.1723100155
86,584340.7550235888
64,489576.01066200435
82,768725.0314190468
69,530524.9594560263
90,639799.4993808981
70,548009.2941993171
97,717784.5349163027
68,501217.57725487853
82,610599.2585136143
81,618751.8296950348
67,411591.3640535361
70,580668.5071729402
80,468946.2445515989
87,679762.4136946523
82,625801.2373560652
62,583793.314939658
96,585786.9293908284
68,486683.8272824216
66,419512.95918271126
72,519449.8169142079
68,442977.41560076515
